Sat May 21 12:22:04 2022    main.stats

         3611503 function calls (3547257 primitive calls) in 40.564 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
40880/37969    0.158    0.000   33.570    0.001 {built-in method numpy.core._multiarray_umath.implement_array_function}
     8084    0.015    0.000   20.150    0.002 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
      241    0.001    0.000   20.066    0.083 <__array_function__ internals>:2(clip)
      241    0.001    0.000   20.065    0.083 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\numpy\core\fromnumeric.py:2046(clip)
      241    0.001    0.000   20.063    0.083 {method 'clip' of 'numpy.ndarray' objects}
      241    0.001    0.000   20.062    0.083 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\numpy\core\_methods.py:125(_clip)
      241   20.060    0.083   20.060    0.083 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\numpy\core\_methods.py:106(_clip_dep_invoke_with_casting)
      216    0.001    0.000   11.683    0.054 <__array_function__ internals>:2(median)
      216    0.001    0.000   11.681    0.054 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\numpy\lib\function_base.py:3573(median)
      216    0.240    0.001   11.681    0.054 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\numpy\lib\function_base.py:3513(_ureduce)
      216    0.006    0.000   11.441    0.053 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\numpy\lib\function_base.py:3663(_median)
      216    0.000    0.000   11.414    0.053 <__array_function__ internals>:2(partition)
      216    0.001    0.000   11.413    0.053 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\numpy\core\fromnumeric.py:667(partition)
      216   10.002    0.046   10.002    0.046 {method 'partition' of 'numpy.ndarray' objects}
      232    1.643    0.007    2.772    0.012 D:/Magistrs/Praktiskais/main.py:119(rmsValue)
    29/27    0.000    0.000    2.650    0.098 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\__init__.py:1444(inner)
        2    0.002    0.001    2.184    1.092 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_axes.py:6362(hist)
        2    0.018    0.009    1.920    0.960 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_axes.py:2264(bar)
6979/2215    0.021    0.000    1.886    0.001 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\cbook\deprecation.py:384(wrapper)
     2000    0.008    0.000    1.508    0.001 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_base.py:2026(add_patch)
      256    1.422    0.006    1.422    0.006 {method 'flatten' of 'numpy.ndarray' objects}
    19065    1.379    0.000    1.379    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       31    0.001    0.000    1.294    0.042 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\figure.py:1254(add_subplot)
       31    0.000    0.000    1.179    0.038 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_subplots.py:18(__init__)
       16    0.020    0.001    1.165    0.073 D:/Magistrs/Praktiskais/main.py:132(signalVsNoise)
      448    0.001    0.000    1.142    0.003 <__array_function__ internals>:2(mean)
      448    0.004    0.000    1.139    0.003 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\numpy\core\fromnumeric.py:3322(mean)
      448    0.011    0.000    1.135    0.003 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\numpy\core\_methods.py:162(_mean)
     2000    0.022    0.000    1.065    0.001 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_base.py:2038(_update_patch_limits)
       31    0.002    0.000    1.031    0.033 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_base.py:434(__init__)
       23    0.001    0.000    0.939    0.041 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\astropy\visualization\wcsaxes\core.py:97(__init__)
        1    0.000    0.000    0.864    0.864 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\pyplot.py:856(savefig)
        1    0.000    0.000    0.864    0.864 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\figure.py:2169(savefig)
        1    0.000    0.000    0.864    0.864 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backends\backend_qt5agg.py:80(print_figure)
       31    0.002    0.000    0.861    0.028 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_base.py:1038(cla)
        2    0.000    0.000    0.839    0.420 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backends\backend_agg.py:400(draw)
     14/2    0.000    0.000    0.838    0.419 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\artist.py:33(draw_wrapper)
        2    0.000    0.000    0.838    0.419 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\figure.py:1819(draw)
      4/2    0.000    0.000    0.836    0.418 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\image.py:113(_draw_list_compositing_images)
        2    0.000    0.000    0.836    0.418 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\astropy\visualization\wcsaxes\core.py:435(draw)
        2    0.000    0.000    0.833    0.416 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_base.py:2665(draw)
        2    0.000    0.000    0.830    0.415 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\image.py:619(draw)
        2    0.000    0.000    0.826    0.413 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\image.py:919(make_image)
        2    0.043    0.021    0.825    0.413 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\image.py:310(_make_image)
     7094    0.005    0.000    0.734    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\patches.py:791(get_patch_transform)
     7094    0.052    0.000    0.729    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\patches.py:761(_update_patch_transform)
        4    0.000    0.000    0.706    0.176 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\image.py:160(_resample)
        4    0.704    0.176    0.704    0.176 {built-in method matplotlib._image.resample}
   154/62    0.001    0.000    0.687    0.011 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:899(set_clip_path)
   232/78    0.001    0.000    0.675    0.009 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:607(__get__)
     3136    0.030    0.000    0.580    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\artist.py:723(set_clip_path)
     5184    0.011    0.000    0.556    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\patches.py:258(get_transform)
 1256/580    0.006    0.000    0.485    0.001 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\spines.py:391(get_spine_transform)
 1256/580    0.001    0.000    0.481    0.001 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\spines.py:215(_ensure_position_is_set)
   124/78    0.001    0.000    0.481    0.006 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\spines.py:355(set_position)
  496/450    0.002    0.000    0.481    0.001 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:795(reset_ticks)
        7    0.000    0.000    0.468    0.067 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\figure.py:2568(tight_layout)
       23    0.000    0.000    0.460    0.020 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\astropy\visualization\wcsaxes\core.py:177(imshow)
       23    0.000    0.000    0.459    0.020 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_axes.py:5328(imshow)
        1    0.000    0.000    0.447    0.447 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backend_bases.py:2083(print_figure)
        1    0.000    0.000    0.447    0.447 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backend_bases.py:1600(wrapper)
        1    0.000    0.000    0.446    0.446 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backends\backend_agg.py:524(print_jpg)
        7    0.000    0.000    0.445    0.064 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\tight_layout.py:212(get_tight_layout_figure)
   143/74    0.001    0.000    0.441    0.006 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:2301(_get_tick)
   143/74    0.003    0.000    0.440    0.006 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:489(__init__)
        7    0.001    0.000    0.439    0.063 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\tight_layout.py:19(auto_adjust_subplotpars)
       24    0.001    0.000    0.426    0.018 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_base.py:4095(get_tightbbox)
      283    0.014    0.000    0.405    0.001 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:56(__init__)
     2192    0.025    0.000    0.358    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\patches.py:41(__init__)
10162/10132    0.063    0.000    0.354    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\artist.py:972(update)
     2004    0.005    0.000    0.354    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1327(contains_branch_seperately)
     2041    0.012    0.000    0.351    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\patches.py:722(__init__)
        4    0.351    0.088    0.351    0.088 {medianBlur}
       23    0.000    0.000    0.350    0.015 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\image.py:686(set_data)
       29    0.000    0.000    0.349    0.012 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\cbook\__init__.py:681(safe_masked_invalid)
     2004    0.017    0.000    0.346    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1308(contains_branch)
   140/71    0.001    0.000    0.335    0.005 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:2011(_get_tick)
   140/71    0.003    0.000    0.334    0.005 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:416(__init__)
2221/2191    0.005    0.000    0.311    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\artist.py:1086(set)
 1349/370    0.001    0.000    0.293    0.001 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_base.py:776(get_yaxis_transform)
      899    0.021    0.000    0.275    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\lines.py:269(__init__)
    23960    0.274    0.000    0.275    0.000 {built-in method numpy.array}
        8    0.000    0.000    0.260    0.033 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:1096(get_tightbbox)
     7094    0.016    0.000    0.226    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1957(rotate_deg_around)
      268    0.003    0.000    0.216    0.001 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\text.py:863(get_window_extent)
16016/8012    0.018    0.000    0.199    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:2320(__eq__)
