Wed May 25 18:15:15 2022    qatm_pytorch.stats

         391679 function calls (384663 primitive calls) in 32.997 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   21.842   21.842 D:/Magistrs/Praktiskais/qatm_pytorch.py:329(run_multi_sample)
        2    0.082    0.041   19.518    9.759 D:/Magistrs/Praktiskais/qatm_pytorch.py:307(run_one_sample)
        2    0.151    0.076   19.347    9.674 D:/Magistrs/Praktiskais/qatm_pytorch.py:137(__call__)
        2    1.040    0.520   12.208    6.104 D:/Magistrs/Praktiskais/qatm_pytorch.py:161(__call__)
        4    0.000    0.000    8.942    2.236 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\torch\nn\functional.py:1479(softmax)
        4    8.942    2.236    8.942    2.236 {method 'softmax' of 'torch._C._TensorBase' objects}
        1    0.007    0.007    8.050    8.050 D:/Magistrs/Praktiskais/qatm_pytorch.py:289(plot_result_multi)
        1    0.000    0.000    7.584    7.584 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\pyplot.py:324(show)
        1    0.000    0.000    7.584    7.584 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backend_bases.py:3510(show)
        1    0.000    0.000    7.342    7.342 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backends\backend_qt5.py:1031(mainloop)
        1    6.723    6.723    7.342    7.342 {built-in method exec_}
        3    0.017    0.006    5.273    1.758 D:/Magistrs/Praktiskais/qatm_pytorch.py:99(__call__)
     57/6    0.002    0.000    5.225    0.871 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\torch\nn\modules\module.py:715(_call_impl)
        3    0.048    0.016    5.219    1.740 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\torch\nn\modules\container.py:115(forward)
       24    0.000    0.000    4.255    0.177 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\torch\nn\modules\conv.py:422(forward)
       24    0.000    0.000    4.254    0.177 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\torch\nn\modules\conv.py:414(_conv_forward)
       24    4.254    0.177    4.254    0.177 {built-in method conv2d}
        3    2.337    0.779    2.337    0.779 {imread}
        3    0.000    0.000    2.321    0.774 D:/Magistrs/Praktiskais/qatm_pytorch.py:47(__getitem__)
        1    0.047    0.047    1.598    1.598 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\torchvision\models\vgg.py:164(vgg19)
        1    0.000    0.000    1.551    1.551 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\torchvision\models\vgg.py:87(_vgg)
        1    1.372    1.372    1.437    1.437 D:/Magistrs/Praktiskais/qatm_pytorch.py:236(nms_multi)
        2    0.000    0.000    1.302    0.651 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\torch\functional.py:261(einsum)
        2    1.302    0.651    1.302    0.651 {built-in method einsum}
        4    1.197    0.299    1.197    0.299 {built-in method max}
       19    0.000    0.000    1.040    0.055 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\torch\nn\init.py:352(kaiming_uniform_)
       38    1.039    0.027    1.039    0.027 {method 'uniform_' of 'torch._C._TensorBase' objects}
        2    0.882    0.441    0.882    0.441 {built-in method topk}
